546,923,661
935,638,192
678,185,960
546,217,661
960,678,185
546,947,661
546,923,947
546,661,923
546,661,947
960,185,471
192,487,935
471,185,678
471,185,960
935,487,192
546,217,947
960,185,678
546,217,923
546,947,923
546,923,217
546,661,217
969,888
21,857,793
192,638,935
978,708,883
208,290,969
208,290,888
661,923,546
33,346,283
33,346,217
969,208
33,283,346
546,947,217
661,923,947
857,793,21
192,888,935
857,413,793
33,346,515
935,888,192
21,857,413
857,793,413
33,217,346
857,413,21
969,290
803,572,411
33,283,217
661,923,217
208,290,458
583,617,158
217,923,661
217,923,947
803,572,350
579,572,411
593,862,895
33,217,283
963,541,494
803,572,842
33,283,515
579,572,803
593,862,120
208,888,969
411,572,803
947,661,546
579,411,803
583,617,354
579,572,842
4,373,716
969,458
947,661,923
227,12,722
579,572,350
411,572,350
290,888,969
33,217,515
21,413,793
579,803,411
803,572,579
290,888,208
227,12,390
963,631,494
4,716,373
572,350,411
217,923,546
208,888,290
598,782,529
579,803,842
579,411,842
411,572,842
105,815,944
572,350,803
411,350,803
411,572,579
593,895,120
390,12,722
963,541,631
947,661,217
572,350,842
21,793,413
793,413,21
963,631,541
208,888,458
579,803,350
722,227,390
579,411,350
571,623,853
663,871,471
853,623,795
21,413,857
346,283,217
572,350,579
21,793,857
561,346,888
593,895,862
290,888,458
373,716,4
579,411,572
105,862,944
944,998,54
54,998,944
242,758,471
411,350,842
411,350,572
944,815,105
944,105,815
803,350,411
944,54,998
579,803,572
862,895,593
793,413,857
593,120,895
978,883,708
853,571,795
354,583,158
853,623,571
411,350,579
947,285,32
862,895,120
853,571,623
571,623,795
803,350,842
963,494,541
32,6,472
862,815,944
663,471,871
579,350,803
105,815,494
105,494,944
32,472,6
795,623,853
963,494,631
853,795,623
217,283,346
944,105,862
561,888,346
579,350,842
579,350,411
105,862,494
803,350,579
593,120,862
883,708,978
944,105,494
862,815,105
995,534,470
803,350,572
105,862,815
105,815,862
354,583,617
862,815,494
105,494,815
853,795,571
32,285,947
631,541,494
242,471,758
346,283,515
494,815,944
70,765,819
995,470,534
579,350,572
390,12,227
944,815,494
871,471,663
494,815,105
105,494,862
944,815,862
346,283,33
70,765,684
888,346,561
354,617,158
758,471,242
795,623,571
494,815,862
534,470,995
39,825,704
626,496
438,75,684
722,390,227
227,390,722
631,541,963
217,283,515
354,617,583
684,765,819
120,862,593
120,862,895
6,472,32
217,283,33
684,765,70
529,782,598
571,795,853
944,494,105
722,12,390
944,862,105
32,947,285
944,494,815
120,895,593
661,217,546
75,684,438
661,217,923
661,217,947
944,494,862
631,494,541
571,795,623
944,862,815
944,862,494
120,895,862
631,494,963
682,494,368
722,12,227
438,684,75
947,217,923
947,217,661
70,684,819
678,471,960
678,471,185
70,684,765
801,862
842,803
947,217,546
842,411
842,350
541,494,631
842,579
801,392
541,494,963
368,296,829
842,572
719,157
529,598,782
862,494,944
862,494,105
862,494,815
158,354
515,346
392,862,801
515,217
158,583
158,617
515,283
458,208
458,888
515,33
960,471,678
960,471,185
458,969
458,290
803,411,842
803,411,579
803,411,350
947,923,661
368,494,682
803,411,572
296,829,368
947,923,546
947,923,217
192,935,888
192,935,638
192,935,487
819,684
819,70
481,143
819,765
879,825
217,346,283
704,39
704,825
722,227,12
678,471
217,346,515
722,390,12
481,919
801,569
217,346,33
